alert,alertRef,attack,confidence,cweid,description,evidence,id,inputVector,messageId,method,name,other,param,pluginId,reference,risk,solution,sourceMessageId,sourceid,tags,url,wascid
Session Management Response Identified,10112,,High,-1,"The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then this rule will change the session management to use the tokens identified.",PHPSESSID,12,,13,GET,Session Management Response Identified,cookie:PHPSESSID,PHPSESSID,10112,https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id,Informational,This is an informational alert rather than a vulnerability and so there is nothing to fix.,13,3,{},http://dvwa/,-1
Content Security Policy (CSP) Header Not Set,10038-1,,High,693,"Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.",,13,,20,GET,Content Security Policy (CSP) Header Not Set,,,10038,"https://developer.mozilla.org/en-US/docs/Web/Security/CSP/Introducing_Content_Security_Policy
https://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.html
https://www.w3.org/TR/CSP/
https://w3c.github.io/webappsec-csp/
https://web.dev/articles/csp
https://caniuse.com/#feat=contentsecuritypolicy
https://content-security-policy.com/",Medium,"Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.",20,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'CWE-693': 'https://cwe.mitre.org/data/definitions/693.html', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html'}",http://dvwa/sitemap.xml,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),14,,26,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",26,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/dvwa/css/login.css,13
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),15,,20,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",20,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/sitemap.xml,13
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),16,,22,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",22,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/robots.txt,13
Cookie No HttpOnly Flag,10010,,Medium,1004,"A cookie has been set without the HttpOnly flag, which means that the cookie can be accessed by JavaScript. If a malicious script can be run on this page then the cookie will be accessible and can be transmitted to another site. If this is a session cookie then session hijacking may be possible.",Set-Cookie: PHPSESSID,19,,19,GET,Cookie No HttpOnly Flag,,PHPSESSID,10010,https://owasp.org/www-community/HttpOnly,Low,Ensure that the HttpOnly flag is set for all cookies.,19,3,"{'CWE-1004': 'https://cwe.mitre.org/data/definitions/1004.html', 'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'WSTG-v42-SESS-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/06-Session_Management_Testing/02-Testing_for_Cookies_Attributes', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'POLICY_DEV_STD': ''}",http://dvwa,13
X-Content-Type-Options Header Missing,10021,,Medium,693,"The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.",,20,,26,GET,X-Content-Type-Options Header Missing,"This issue still applies to error type pages (401, 403, 500, etc.) as those pages are often still affected by injection issues, in which case there is still concern for browsers sniffing pages away from their actual content type.
At ""High"" threshold this scan rule will not alert on client or server error responses.",x-content-type-options,10021,"https://learn.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/compatibility/gg622941(v=vs.85)
https://owasp.org/www-community/Security_Headers",Low,"Ensure that the application/web server sets the Content-Type header appropriately, and that it sets the X-Content-Type-Options header to 'nosniff' for all web pages.
If possible, ensure that the end user uses a standards-compliant and modern web browser that does not perform MIME-sniffing at all, or that can be directed by the web application/web server to not perform MIME-sniffing.",26,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'CWE-693': 'https://cwe.mitre.org/data/definitions/693.html', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html'}",http://dvwa/dvwa/css/login.css,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),21,,32,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",32,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/dvwa/images/RandomStorm.png,13
X-Content-Type-Options Header Missing,10021,,Medium,693,"The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.",,22,,22,GET,X-Content-Type-Options Header Missing,"This issue still applies to error type pages (401, 403, 500, etc.) as those pages are often still affected by injection issues, in which case there is still concern for browsers sniffing pages away from their actual content type.
At ""High"" threshold this scan rule will not alert on client or server error responses.",x-content-type-options,10021,"https://learn.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/compatibility/gg622941(v=vs.85)
https://owasp.org/www-community/Security_Headers",Low,"Ensure that the application/web server sets the Content-Type header appropriately, and that it sets the X-Content-Type-Options header to 'nosniff' for all web pages.
If possible, ensure that the end user uses a standards-compliant and modern web browser that does not perform MIME-sniffing at all, or that can be directed by the web application/web server to not perform MIME-sniffing.",22,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'CWE-693': 'https://cwe.mitre.org/data/definitions/693.html', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html'}",http://dvwa/robots.txt,15
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),23,,30,GET,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",30,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/dvwa/images/login_logo.png,13
X-Content-Type-Options Header Missing,10021,,Medium,693,"The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.",,25,,30,GET,X-Content-Type-Options Header Missing,"This issue still applies to error type pages (401, 403, 500, etc.) as those pages are often still affected by injection issues, in which case there is still concern for browsers sniffing pages away from their actual content type.
At ""High"" threshold this scan rule will not alert on client or server error responses.",x-content-type-options,10021,"https://learn.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/compatibility/gg622941(v=vs.85)
https://owasp.org/www-community/Security_Headers",Low,"Ensure that the application/web server sets the Content-Type header appropriately, and that it sets the X-Content-Type-Options header to 'nosniff' for all web pages.
If possible, ensure that the end user uses a standards-compliant and modern web browser that does not perform MIME-sniffing at all, or that can be directed by the web application/web server to not perform MIME-sniffing.",30,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'CWE-693': 'https://cwe.mitre.org/data/definitions/693.html', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html'}",http://dvwa/dvwa/images/login_logo.png,15
Session Management Response Identified,10112,,High,-1,"The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then this rule will change the session management to use the tokens identified.",PHPSESSID,26,,22,GET,Session Management Response Identified,cookie:PHPSESSID,PHPSESSID,10112,https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id,Informational,This is an informational alert rather than a vulnerability and so there is nothing to fix.,22,3,{},http://dvwa,-1
"Server Leaks Version Information via ""Server"" HTTP Response Header Field",10036,,High,497,"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.",Apache/2.4.25 (Debian),27,,34,POST,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",,,10036,"https://httpd.apache.org/docs/current/mod/core.html#servertokens
https://learn.microsoft.com/en-us/previous-versions/msp-n-p/ff648552(v=pandp.10)
https://www.troyhunt.com/shhh-dont-let-your-response-headers/",Low,"Ensure that your web server, application server, load balancer, etc. is configured to suppress the ""Server"" header or provide generic details.",34,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'WSTG-v42-INFO-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/01-Information_Gathering/02-Fingerprint_Web_Server', 'CWE-497': 'https://cwe.mitre.org/data/definitions/497.html'}",http://dvwa/login.php,13
X-Content-Type-Options Header Missing,10021,,Medium,693,"The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.",,28,,32,GET,X-Content-Type-Options Header Missing,"This issue still applies to error type pages (401, 403, 500, etc.) as those pages are often still affected by injection issues, in which case there is still concern for browsers sniffing pages away from their actual content type.
At ""High"" threshold this scan rule will not alert on client or server error responses.",x-content-type-options,10021,"https://learn.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/compatibility/gg622941(v=vs.85)
https://owasp.org/www-community/Security_Headers",Low,"Ensure that the application/web server sets the Content-Type header appropriately, and that it sets the X-Content-Type-Options header to 'nosniff' for all web pages.
If possible, ensure that the end user uses a standards-compliant and modern web browser that does not perform MIME-sniffing at all, or that can be directed by the web application/web server to not perform MIME-sniffing.",32,3,"{'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'POLICY_PENTEST': '', 'CWE-693': 'https://cwe.mitre.org/data/definitions/693.html', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html'}",http://dvwa/dvwa/images/RandomStorm.png,15
Cookie No HttpOnly Flag,10010,,Medium,1004,"A cookie has been set without the HttpOnly flag, which means that the cookie can be accessed by JavaScript. If a malicious script can be run on this page then the cookie will be accessible and can be transmitted to another site. If this is a session cookie then session hijacking may be possible.",Set-Cookie: security,30,,19,GET,Cookie No HttpOnly Flag,,security,10010,https://owasp.org/www-community/HttpOnly,Low,Ensure that the HttpOnly flag is set for all cookies.,19,3,"{'CWE-1004': 'https://cwe.mitre.org/data/definitions/1004.html', 'OWASP_2021_A05': 'https://owasp.org/Top10/A05_2021-Security_Misconfiguration/', 'POLICY_QA_STD': '', 'WSTG-v42-SESS-02': 'https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/06-Session_Management_Testing/02-Testing_for_Cookies_Attributes', 'POLICY_PENTEST': '', 'OWASP_2017_A06': 'https://owasp.org/www-project-top-ten/2017/A6_2017-Security_Misconfiguration.html', 'POLICY_DEV_STD': ''}",http://dvwa,13
